Tema;Pregunta;Respuesta_A;Respuesta_B;Respuesta_C;Respuesta_D;Correcta;Justificacion
Actividad Comercial;¿Qué coste tiene la emisión de una tarjeta TSC si el viajero no dispone de ella para el Abono Único?;Gratis.;1 euro.;2 euros.;5 euros.;1;Abono Único. Emisión
Actividad Comercial;"¿Qué descuento inicial ofrece el ""Pase Vía"" para Avant?";25%;30%;45%;50%;2;Pase Vía (T.E. 4 III.5)
Actividad Comercial;¿Cuántas reservas activas al día permite el Abono Pase Vía?;2 reservas.;4 reservas.;6 reservas.;Ilimitadas.;1;Pase Vía. Condiciones de Utilización
Actividad Comercial;¿Qué plazo tiene el cliente para anular una reserva de Pase Vía sin coste?;15 minutos.;30 minutos.;60 minutos.;2 horas.;2;Pase Vía. Anulación
Actividad Comercial;¿A partir de cuántos viajes realizados el descuento en Pase Vía llega al 90%?;60 viajes.;100 viajes.;120 viajes.;Al final del año.;2;Pase Vía. Anexo 1 (Tabla)
Actividad Comercial;¿Qué porcentaje de indemnización corresponde por un retraso de 60 minutos en AVE?;25%;50%;75%;100%;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Y si el retraso en AVE es superior a 90 minutos?;50%;75%;100%;El doble del billete.;2;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;En Rodalies de Catalunya, ¿qué retraso da derecho al 50% de devolución?;Superior a 15 min.;Superior a 30 min.;Superior a 60 min.;No existe el tramo del 50%.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿En qué canal es exclusivo el incremento del 100% de indemnización si se cobra en Puntos Renfe?;Taquillas.;renfe.com;App Renfe.;Venta Telefónica.;1;Mejora en el cobro de indemnizaciones
Actividad Comercial;¿Cuál es la indemnización por ausencia total de climatización en un tren AVE?;25%;50%;100%;10%;2;Deficiencias del servicio a bordo (Tabla)
Actividad Comercial;¿Y por la ausencia de cafetería en un tren Alvia?;5%;10%;20%;No tiene indemnización.;1;Deficiencias del servicio a bordo (Tabla)
Actividad Comercial;¿Cuál es el plazo máximo para presentar una reclamación tras el viaje?;1 mes.;3 meses.;6 meses.;1 año.;1;Presentación de la reclamación
Actividad Comercial;¿Qué valor tiene un billete gratuito de Devolución Exprés en el Núcleo de Valencia?;El precio del billete original.;Un viaje sencillo para el mismo recorrido que el afectado.;10 euros fijos.;500 Puntos Renfe.;1;Devolución Express Valencia
Actividad Comercial;¿Qué edad mínima permite adquirir la Tarjeta Dorada?;55 años.;60 años.;65 años.;67 años.;1;Tarjeta Dorada (T.E. 2 I.2)
Actividad Comercial;¿Cuál es el precio de la Tarjeta Dorada para 1 año?;3 euros.;5 euros.;6 euros.;10 euros.;2;Tarjeta Dorada. Facsímil
Actividad Comercial;¿Qué descuento ofrece la Tarjeta Dorada en Media Distancia Convencional?;25%;40%;50%;10%;1;Tarjeta Dorada. Cuadro descuentos
Actividad Comercial;¿Y en trenes de ancho métrico (antigua FEVE)?;25%;40%;50%;75%;2;Tarjeta Dorada. Cuadro descuentos
Actividad Comercial;¿Cuál es el precio fijo de un billete para acompañante de plaza H en servicios comerciales?;3 euros.;5 euros.;7 euros.;10 euros.;2;Tarjeta Dorada. Condiciones
Actividad Comercial;¿Qué antelación mínima exige Eurail para reservas de asistencia (Adif Acerca)?;30 minutos.;2 horas.;12 horas.;24 horas.;2;N.I.V. Eurail / Interrail. Reservas
Actividad Comercial;"¿Cuál es el precio de la reserva ""Elige"" en trenes Alvia con pase Eurail?";6,50 euros.;10 euros.;13 euros.;23,50 euros.;0;N.I.V. Eurail. Reservas
Actividad Comercial;¿Qué validez tiene el Spain Rail Pass desde su compra?;3 meses.;6 meses.;11 meses.;1 año.;1;Spain Rail Pass (T.E. 2 I.6)
Actividad Comercial;¿Cuántos viajes permite realizar el Spain Rail Pass?;Solo 10.;4, 6, 8 ó 10.;Ilimitados.;2 viajes al día.;1;Spain Rail Pass. Descripción
Actividad Comercial;En el acuerdo AJC, ¿qué tiempo mínimo de conexión se exige en la misma estación?;15 minutos.;30 minutos.;45 minutos.;60 minutos.;1;Acuerdo AJC. Emisión del Justificante
Actividad Comercial;¿Qué servicios están excluidos del acuerdo de continuidad AJC?;AVE.;Alvia.;Cercanías, MD Convencional y Avant.;Euromed.;2;Acuerdo AJC (T.E. 1 I.3.2)
Actividad Comercial;¿Cómo se denomina el sistema de control de tráfico a distancia citado en el bloque ferroviario?;ASFA.;CTC (Control de Tráfico Centralizado).;ERTMS.;GSM-R.;1;Conocimientos Básicos Ferroviarios
Actividad Comercial;"¿Qué ancho tiene la vía de ""Ancho Ibérico""?";1.435 mm.;1.668 mm.;1.000 mm.;1.674 mm.;1;Conocimientos Básicos Ferroviarios. Vía
Actividad Comercial;¿Cómo se llaman las piezas móviles de un desvío que encauzan las ruedas?;Traviesas.;Balasto.;Agujas.;Ejes.;2;Conocimientos Básicos Ferroviarios. Vía
Actividad Comercial;¿Qué significan las siglas ASFA?;Asociación de Ferrocarriles.;Anuncio de Señales y Frenado Automático.;Alarma de Seguridad Ferroviaria Automática.;Aplicación de Sistemas Ferroviarios Avanzados.;1;Conocimientos Básicos Ferroviarios. Seguridad
Actividad Comercial;¿Qué indica una luz ROJA en una señal ferroviaria?;Vía libre.;Parada.;Precaución.;Anuncio de parada.;1;Conocimientos Básicos Ferroviarios. Señales
Actividad Comercial;"¿Qué es un ""Cantón""?";La cabina del maquinista.;El tramo de vía donde solo puede haber un tren a la vez.;Un tipo de vagón de carga.;La estación de destino final.;1;Conocimientos Básicos Ferroviarios. Glosario
Actividad Comercial;¿Qué trenes se identifican con números pares?;Los que van hacia el Norte.;Los que circulan en sentido de kilometraje ascendente.;Los trenes de mercancías.;Los trenes de alta velocidad únicamente.;1;Conocimientos Básicos Ferroviarios. Paridad
Actividad Comercial;¿Y los trenes impares?;Los de cercanías.;Los que circulan en sentido de kilometraje descendente.;Los que van hacia el Sur.;Los que tienen retraso.;1;Conocimientos Básicos Ferroviarios. Paridad
Actividad Comercial;¿Qué mide el NPS (Net Promoter Score)?;La puntualidad del tren.;El esfuerzo del cliente.;La probabilidad de recomendación.;El volumen de ventas.;2;Experiencia de Cliente. NPS
Actividad Comercial;¿Cómo se define a un cliente que puntúa con un 9 o un 10 en NPS?;Pasivo.;Detractor.;Promotor.;Entusiasta.;2;Experiencia de Cliente. NPS
Actividad Comercial;¿Qué mide el CES (Customer Effort Score)?;La velocidad del viaje.;El esfuerzo del cliente para resolver una gestión.;La amabilidad del personal.;El coste del billete.;1;Experiencia de Cliente. CES
Actividad Comercial;¿Cómo se denomina al mapa de interacciones del cliente con la empresa?;Pasillo del tren.;Customer Journey (Pasillo de cliente).;Arquetipo de venta.;Ciclo de fidelización.;1;Experiencia de Cliente. Herramientas
Actividad Comercial;Según el II Plan de Igualdad, ¿cuál es el objetivo del mismo?;Aumentar los beneficios de Renfe.;Asegurar la igualdad de trato y oportunidades entre sexos.;Reducir el número de maquinistas.;Fomentar el teletrabajo únicamente.;1;II Plan de Igualdad. Introducción
Actividad Comercial;"¿Qué es la ""Acción Positiva""?";Dar premios a los clientes.;Medidas temporales para corregir desigualdades de las mujeres.;Un sistema de puntos extra.;Un programa de seguridad operacional.;1;II Plan de Igualdad. Glosario
Actividad Comercial;"¿Qué significa ""Techo de Cristal""?";El cristal panorámico de los trenes.;Barrera invisible que limita el ascenso laboral de las mujeres.;Una normativa de seguridad en talleres.;El límite de velocidad de los trenes.;1;II Plan de Igualdad. Glosario
Actividad Comercial;¿Qué sistema de seguridad es el estándar europeo interoperable?;ASFA.;LZB.;ERTMS / ETCS.;EBICAB.;2;Conocimientos Básicos Ferroviarios. Seguridad
Actividad Comercial;¿Cómo se llama la interfaz entre maquinista y máquina en ERTMS?;CTC.;DMI (Driver Machine Interface).;GSM-R.;Siver.;1;Conocimientos Básicos Ferroviarios. Seguridad
Actividad Comercial;¿Qué tipo de carril es el más usado actualmente?;Carril plano.;Carril tipo Vignole.;Carril de ranura.;Carril de madera.;1;Conocimientos Básicos Ferroviarios. Vía
Actividad Comercial;¿A qué distancia se mide el ancho de vía por debajo de la rodadura?;5 mm.;10 mm.;14 mm.;20 mm.;2;Conocimientos Básicos Ferroviarios. Vía
Actividad Comercial;¿Qué nombre reciben las piezas transversales que sujetan los raíles?;Balasto.;Agujas.;Traviesas.;Ejes.;2;Conocimientos Básicos Ferroviarios. Vía
Actividad Comercial;"¿Qué es el ""Balasto""?";La pintura del tren.;La capa de piedra partida que sustenta las traviesas.;Un tipo de freno de emergencia.;El sistema de iluminación de estaciones.;1;Conocimientos Básicos Ferroviarios. Vía
Actividad Comercial;"¿Qué significa que una locomotora sea ""Dual""?";Que tiene dos cabinas.;Que puede funcionar en modo eléctrico y diésel.;Que lleva dos maquinistas.;Que es válida para mercancías y viajeros.;1;Conocimientos Básicos Ferroviarios. Material Motor
Actividad Comercial;¿Qué serie identifica a los trenes AVE S-100?;Series 100.;Series 252.;Series 447.;Series 599.;0;Conocimientos Básicos Ferroviarios. Material Motor
Actividad Comercial;¿En qué año se separó RENFE en ADIF y Renfe Operadora?;1941;1992;2005;2015;2;II Plan de Igualdad. Historia de Renfe
Actividad Comercial;¿Cuál es la fecha de vigencia de la norma T.E. 7 I.1 relativa al producto AVLO?;23/6/21;15/7/25;2/12/25;1/1/26;2;Normativa Comercial AVLO (T.E. 7 I.1)
Actividad Comercial;En el sistema de venta de AVLO, ¿qué nivel de precio ofrecen los precios dinámicos?;Un precio fijo por temporada.;El mejor nivel de precio disponible en cada momento.;Descuentos del 50% fijos para el primer coche.;Precios basados exclusivamente en el peso del equipaje.;1;AVLO. Tarifas
Actividad Comercial;¿Con cuánta antelación finaliza exactamente el acceso al tren en los servicios AVLO?;10 minutos antes.;5 minutos antes.;2 minutos antes.;Al momento del silbato del factor.;2;AVLO. Servicios en Tierra
Actividad Comercial;¿Cuántos accesos anuales a Salas Club permite la Tarjeta Más Renfe Plata con billete AVLO?;Accesos ilimitados.;10 accesos.;4 accesos anuales.;No permite acceso con AVLO.;2;AVLO. Servicios en Tierra
Actividad Comercial;¿Qué porcentaje de gastos de gestión se aplica a la venta de AVLO en máquinas autoventa?;0%;3,50%;5,50%;15%;1;AVLO. Gastos de Gestión
Actividad Comercial;Si se cambia un billete AVLO por otro de menor precio, ¿qué ocurre con la diferencia?;Se devuelve íntegramente al cliente.;Se emite un vale para cafetería.;El valor facial del billete resultante será el mismo que el original y no hay devolución.;Se penaliza con 10 euros adicionales.;2;AVLO. Cambios y Anulaciones
Actividad Comercial;¿Cuál es el precio del complemento de mascota por trayecto y viajero en AVLO?;5 euros.;10 euros.;15 euros.;Es gratuito.;1;AVLO. Mascotas
Actividad Comercial;"¿Cuál es el número mínimo de personas para considerar una oferta comercial de ""Grupos"" en AVLO?";10 personas.;20 personas.;26 personas.;50 personas.;2;AVLO. Grupos
Actividad Comercial;En una anulación total de billete de grupo AVLO, ¿qué gastos se aplican con menos de 48h de antelación?;15%;30%;50%;75%;3;AVLO. Grupos (Anulación)
Actividad Comercial;¿Qué dimensiones máximas tiene la maleta de cabina gratuita incluida en el billete AVLO?;36x27x25 cm;55x35x25 cm;85x60x35 cm;100x50x40 cm;1;AVLO. Equipajes
Actividad Comercial;¿Qué precio fijo tiene el billete de niño (<14 años) en AVLO por un máximo de dos por adulto?;Gratis.;3 euros.;5 euros.;10 euros.;2;AVLO. Viajes de Menores
Actividad Comercial;¿Desde qué fecha es posible formalizar BonoAVE y Bono Colaborativo en servicios AVLO?;1/1/24;4/6/25;15/7/25;2/12/25;1;AVLO. Bonos AVE
Actividad Comercial;"¿Cuál es el máximo de titulares que admite un ""Bono Colaborativo"" para AVLO?";2 titulares.;4 titulares.;6 titulares.;10 titulares.;1;AVLO. Bonos AVE
Actividad Comercial;En las plazas H para silla de ruedas en AVLO, ¿con qué antelación mínima debe solicitarse la asistencia?;30 minutos.;2 horas.;12 horas (general).;24 horas.;2;AVLO. Discapacidad
Actividad Comercial;¿Qué porcentaje de abono corresponde al titular de Tarjeta Ferroviaria (Turista) para ocio en AVLO?;15%;25%;30%;50%;2;AVLO. Tarifa Ferroviaria
Actividad Comercial;¿Cuál es el código de tarifa de AVLO para el Convenio con el Ministerio de Defensa (Organismo)?;LC502;LC177;BORG-01;T.E. 2-III;1;AVLO. Convenios
Actividad Comercial;¿En qué canal NO es posible adquirir billetes AVLO con el código de tarifa LC177 (Organismo)?;Web renfe.com;Venta Telefónica;App Renfe;Taquillas VCX;2;AVLO. Convenios
Actividad Comercial;"Para ofertas de ""Congresos y Ferias"" en AVLO, ¿cuál es la duración máxima del evento?";2 días.;4 días.;7 días.;1 mes.;1;AVLO. Congresos y Ferias
Actividad Comercial;¿Qué indemnización corresponde por un fallo de climatización sin reparación durante el viaje en AVLO?;10%;25%;50%;100%;3;AVLO. Posventa
Actividad Comercial;¿De cuánto tiempo dispone el cliente para el cobro de indemnizaciones automáticas tras el viaje en AVLO?;1 mes.;3 meses.;6 meses.;1 año.;1;AVLO. Posventa
Actividad Comercial;"¿Cuántos dígitos tiene la contraseña impresa en billetes AVE/LD para obtener el ""CombinadoCercanías""?";3 dígitos.;4 dígitos.;5 dígitos.;6 dígitos.;2;CombinadoCercanías
Actividad Comercial;¿Cuál es la edad mínima para solicitar la Tarjeta Más Renfe?;12 años.;14 años.;18 años.;No hay edad mínima.;1;Programa Más Renfe
Actividad Comercial;¿Qué gasto debe realizar un titular Más Renfe Clásica para recibir directamente la tarjeta Plata?;500 €;750 €;1.000 €;2.000 €;1;Programa Más Renfe. Niveles
Actividad Comercial;¿Cuál es la permanencia obligatoria en el nivel Oro antes de poder acceder al nivel Platino?;6 meses.;Un año.;Dos años.;No hay permanencia si se gasta más de 6.000€.;1;Programa Más Renfe. Tarjeta Oro
Actividad Comercial;¿A partir de qué gasto un titular Más Renfe pasa a ser nivel Platino?;Entre 2.000 y 6.000 €.;Más de 6.000 €.;Más de 10.000 €.;Más de 12.000 €.;1;Programa Más Renfe. Tarjeta Platino
Actividad Comercial;¿Cuándo podrá el titular Más Renfe disponer de sus puntos tras haber efectuado el viaje?;A las 12 horas.;A las 24 horas.;A las 48 horas.;A los 7 días.;2;Programa Más Renfe. Puntos
Actividad Comercial;¿Qué caducidad tienen los Puntos Renfe desde la emisión del extracto si no se consumen?;1 año.;2 años.;3 años.;No caducan nunca.;2;Programa Más Renfe. Validez Puntos
Actividad Comercial;¿Cuál es el límite de canje de puntos por un vale descuento en el área privada Más Renfe?;500 puntos.;1.000 puntos.;2.000 puntos.;Sin límite.;1;Programa Más Renfe. Vales
Actividad Comercial;¿Cuál es el horario de atención del Centro de Servicios Tarjeta Más Renfe?;24 horas.;De 9 a 21 h.;De 8 a 20 h.;Solo mañanas de 9 a 14 h.;2;Programa Más Renfe. Centro Servicios
Actividad Comercial;¿Qué porcentaje de obtención de puntos tiene un titular Más Renfe Platino en trenes AVE?;3%;4%;5%;8%;3;Programa Más Renfe. Anexo 1
Actividad Comercial;¿Qué beneficio de planificación de viaje anual tiene un titular Más Renfe Oro?;1 código descuento del 50%.;1 código descuento del 100%.;3 Upgrades a Premium.;Acceso ilimitado a parking.;1;Programa Más Renfe. Anexo 1
Actividad Comercial;¿Cuál es el precio anual de la Tarjeta Más Renfe Joven?;25 €;30 €;50 €;Es gratuita.;2;Tarjeta Más Renfe Joven
Actividad Comercial;¿Qué descuento ofrece la Tarjeta Más Renfe Joven en trenes AVE e Intercity?;25%;30%;50%;Variable según antelación.;1;Tarjeta Más Renfe Joven. Descuentos
Actividad Comercial;¿En qué plazo se puede anular por error la Tarjeta Más Renfe Joven si no se han comprado billetes?;24 horas.;7 días.;14 días posteriores a la compra.;30 días.;2;Tarjeta Más Renfe Joven. Anulación [63/66]
Actividad Comercial;¿Qué deducción se aplica por gastos de anulación en billetes comprados con Tarjeta Joven en Avant?;15%;20%;30%;50%;2;Tarjeta Más Renfe Joven. Anulaciones
Actividad Comercial;¿Cuál es el precio del Abono Único Normal?;30 €;45 €;60 €;90 €;2;Abono Único
Actividad Comercial;¿Qué validez tiene el Abono Único desde la fecha de inicio seleccionada?;15 días.;30 días naturales.;1 mes natural.;3 meses.;1;Abono Único
Actividad Comercial;¿Cuál es el máximo de formalizaciones diarias activas por Abono Único en servicios con reserva?;2 formalizaciones.;4 formalizaciones.;6 formalizaciones.;Sin límite.;1;Abono Único
Actividad Comercial;¿Qué bloqueo se aplica a un titular de Abono Único tras 3 usos indebidos?;Bloqueo de 30 días.;Prohibición de sacar uno nuevo en 60 días.;Multa de 100 euros.;Pérdida de la Tarjeta Dorada.;1;Abono Único. Formalización
Actividad Comercial;"¿Cuál es el descuento inicial de la suscripción ""Pase Vía"" para Avant?";25%;30%;45%;50%;2;Abono Pase Vía
Actividad Comercial;¿Cuál es el incremento aplicado si la indemnización por retraso se cobra en Puntos Renfe (Servicios Comerciales)?;25%;50%;100%;150%;2;Condiciones Posventa [84/86]
Actividad Comercial;En Rodalies de Catalunya, ¿qué retraso da derecho a una devolución del 50% en metálico?;Superior a 15 min.;Superior a 30 min.;Superior a 60 min.;No existe tramo del 50%.;1;Condiciones Posventa
Actividad Comercial;¿Cuál es la indemnización por un retraso de 60 minutos y 01 segundo en un tren AVE?;25%;50%;75%;100%;1;Condiciones Posventa (Tramos)
Actividad Comercial;¿Cuál es el descuento de la Tarjeta Dorada en trenes AVE de lunes a domingo?;25%;40%;50%;10% adicional.;0;Tarjeta Dorada (Resumen)
Actividad Comercial;¿Qué descuento tiene la Tarjeta Dorada en Media Distancia Convencional?;25%;40%;50%;No tiene descuento fijo.;1;Tarjeta Dorada (Resumen)
Actividad Comercial;¿Cuál es el precio fijo para el acompañante de un titular de Tarjeta Dorada (Plaza H) en Servicios Comerciales?;3 €;5 €;7 €;10 €;2;Tarjeta Dorada. Condiciones
Actividad Comercial;¿Qué compensación económica fija corresponde a un retraso de entre 60 y 119 min con pase Interrail?;6 €;12 €;15 €;24 €;1;N.I.V. Interrail. Indemnizaciones
Actividad Comercial;¿Cuál es el porcentaje de devolución por ausencia de restauración a la plaza en opción Prémium?;10%;20%;50%;100%;1;Tabla Indemnizaciones Automáticas
Actividad Comercial;"¿Qué significa que un sistema de protección de trenes sea ""Puntual"" (ej: ASFA)?";Que funciona solo si el tren va con puntualidad.;Que obtiene información en lugares fijos de la infraestructura.;Que la comunicación es permanente.;Que se detiene automáticamente cada 5 km.;1;Sistemas de protección de trenes
Actividad Comercial;¿Qué artículo del Reglamento 2021/782 regula la indemnización si se demuestra causa de fuerza mayor?;Artículo 3.2;Artículo 14;Artículo 19.10;Artículo 28.2;2;Condiciones Posventa
Actividad Comercial;"¿Qué plazo de validez tiene el nuevo título de transporte gratuito obtenido tras una ""Devolución Exprés"" en Valencia?";15 días naturales desde su emisión.;30 días naturales desde su emisión.;3 meses desde la fecha del retraso.;90 días desde la fecha de solicitud.;1;T.E. 1 III.3.1 (Devolución Exprés)
Actividad Comercial;En el Abono Pase Vía, ¿qué sucede exactamente si el viajero se suscribe por un trimestre pero solo utiliza el abono durante un periodo de 45 días?;Se le cancela la suscripción por falta de uso.;Se le considera suscrito a un abono de 10 viajes y se le cobra la diferencia si no los realiza.;"Se le aplica un recargo fijo de 50 euros por ""uso intensivo parcial"".";No ocurre nada, mantiene las condiciones trimestrales sin cargos adicionales.;1;T.E. 4 III.5 (Condiciones Pase Vía)
Actividad Comercial;Según el sistema de protección LZB, ¿qué magnitud se muestra de forma TEMPORAL en el aparato indicador de cabina (AICC)?;Velocidad real y velocidad límite.;Distancia meta y velocidad meta.;Solo la velocidad límite.;Únicamente el ID del Maquinista.;1;Bloque 5 (8.5.2 LZB)
Actividad Comercial;¿Cuál es la indemnización por la carencia de restauración en plaza en opción Prémium si hay una deficiencia de climatización parcial?;Se suman ambas (20% + 50%).;Se aplica únicamente la más beneficiosa (50%).;Se aplica la de restauración (20%) y un vale de 10€ por el aire.;100% del billete por acumulación de fallos.;1;T.E. 1 III.3.3 (Incompatibilidad - Prioridad)
Actividad Comercial;En el acuerdo AJC, si la conexión internacional es entre estaciones diferentes de la misma localidad, ¿cuál es el tiempo mínimo de enlace exigido?;30 minutos.;45 minutos.;60 minutos.;90 minutos.;1;Acuerdo AJC (Emisión del Justificante)
Actividad Comercial;¿Qué artículo del Reglamento 2021/782 se cita como base para eximir de indemnización por fuerza mayor en billetes integrados?;Artículo 3.2;Artículo 14.1;Artículo 19.10;Artículo 28.5;2;T.E. 1 III.3.1 (Billetes Integrados)
Actividad Comercial;Sobre el equipaje de mano en grupos AVLO: ¿Qué dimensiones máximas NO puede superar el bulto más grande de los tres permitidos?;55 x 35 x 25 cm;85 x 55 x 35 cm;30 x 120 x 38 cm;180 cm sumando las tres dimensiones.;1;Normativa AVLO (Equipajes Grupos)
Actividad Comercial;¿En qué fecha exacta entró en vigor la prohibición de acceso a los trenes con patinetes y dispositivos eléctricos con baterías?;28/6/22;15/9/23;28/11/23;12/12/23;3;Condiciones Generales (Histórico Versión 2)
Actividad Comercial;¿Cuál es el orden de aplicación de descuentos en AVLO si un cliente es Familia Numerosa y titular de Tarjeta Ferroviaria?;Simultáneo sobre el precio base.;Primero Familia Numerosa y sobre ese resultado el descuento Ferroviario.;Primero Ferroviario y luego Familia Numerosa.;No son acumulables en el producto AVLO.;1;Normativa AVLO (Acumulación de descuentos)
Actividad Comercial;¿Qué porcentaje de horas de formación en Seguridad Integral recibieron las mujeres en Renfe Viajeros según los datos de 2020?;4,61%;6,55%;8,30%;31,13%;1;II Plan de Igualdad (3.2.5 Formación Viajeros)
Actividad Comercial;Un titular Más Renfe Oro, ¿cuándo puede pasar al nivel Platino si ha superado los 6.000€ de gasto a los 4 meses?;Inmediatamente al superar el umbral.;Al finalizar el mes natural.;Debe permanecer obligatoriamente en el nivel Oro durante un año.;A los 6 meses de permanencia mínima.;2;Programa Fidelización (Tarjeta Oro)
Actividad Comercial;En las Salas Club, ¿qué acompañantes se permiten de forma excepcional a un titular Oro o Platino?;Solo cónyuges.;Menores de 14 años únicamente.;Menores de 18 años que viajen con ellos en el mismo tren.;No se admiten acompañantes bajo ningún concepto.;2;T.E. 1 IV.3 (Acompañantes)
Actividad Comercial;"¿Cómo se define el ""Techo de Cemento"" en el glosario del II Plan de Igualdad?";Barrera invisible que limita el ascenso laboral.;Límites de las mujeres para crecer por falta de referentes o modelos de mujer.;Diferencia salarial en puestos de igual valor.;"El hecho de que el hombre sea ""objeto de aprecio"" y la mujer de ""deseo"".";1;II Plan de Igualdad (Anexo: Glosario)
Actividad Comercial;¿Qué indemnización corresponde por un retraso de 60 minutos exactos en un tren de Larga Distancia (Alvia)?;25%;50%;100%;Ninguna.;1;T.E. 1 III.3.1 (Tramos retrasos LD)
Actividad Comercial;Según el bloque de Conocimientos Ferroviarios, ¿qué sistema de protección permite circular a una velocidad máxima de 350 km/h?;ASFA;LZB;ETCS N1;ETCS N2;3;Bloque 5 (8.5.4 Comparativa)
Actividad Comercial;¿Cuál es la puntuación máxima que puede alcanzar cada factor en el sistema de valoración de puestos de trabajo?;50 puntos.;100 puntos.;500 puntos.;1.000 puntos.;1;II Plan de Igualdad (4.2.3 Sistema Analítico)
Actividad Comercial;¿Qué porcentaje de devolución corresponde por la ausencia de aseos en un tren de Media Distancia Convencional (Regional)?;10%;25%;50%;100%;1;T.E. 1 III.3.3 (Obligación Servicio Público)
Actividad Comercial;En el Spain Rail Pass, ¿cuántos días tiene el viajero para realizar los viajes tras la primera formalización?;15 días.;30 días naturales.;1 mes.;6 meses.;2;Spain Rail Pass (Facsímil Anexo 2)
Actividad Comercial;"¿Qué número de tren identificaría a un ""tren especial"" creado para una necesidad inmediata?";5063;18903;80442;95412;3;Bloque 5 (9.2.3 Número de tren)
Actividad Comercial;En el cálculo de reembolsos de un Abono Mensual de viajes ilimitados en Cercanías, ¿por qué cifra se divide el precio del título?;10;40;50;100;2;T.E. 1 III.3.1 (Títulos Multiviaje)
Actividad Comercial;Según el procedimiento de menores sin acompañante, ¿con qué antelación mínima debe adquirirse el billete?;24 horas.;48 horas antes de la hora oficial de salida del tren.;72 horas.;Hasta el cierre de la venta del tren.;1;T.E. 3 I.5.2 (Normas Generales Menores)
Actividad Comercial;"¿Qué es un ""Surco"" ferroviario de forma textual?";La marca del carril en el balasto.;La franja horaria asignada a un tren.;La unidad de capacidad que define horario, origen, paso y destino.;El dispositivo de enganche entre coches.;2;Bloque 5 (9.5.1 Planificación)
Actividad Comercial;¿Cuál es el precio fijo para el acompañante de una Tarjeta Dorada en plaza H en trenes de SERVICIO PÚBLICO?;7 euros.;Un máximo de 7 euros.;El 50% del billete del titular.;3 euros.;1;Tarjeta Dorada (Condiciones plaza H)
Actividad Comercial;En el NPS, ¿cómo se denominan los clientes que otorgan una puntuación de 7 u 8?;Neutrales.;Pasivos o Neutrales.;Indiferentes.;Clientes Tipo B.;1;Experiencia Cliente (Indicadores NPS)
Actividad Comercial;¿Qué porcentaje de reducción se aplica a una penalización por acceso indebido si se paga en el día 29?;0%;15%;25%;50%;3;Condiciones Generales (3.2 Penalizaciones)
Actividad Comercial;¿En qué estaciones está CERRADA la Sala Club según la actualización del 23/09/25?;Valladolid y Córdoba.;Madrid-Chamartín y Valladolid.;Valencia y Sevilla.;Madrid-Atocha y Barcelona Sants.;1;T.E. 1 IV.3 (Anexo 2 Salas Club)
Actividad Comercial;Según el bloque ferroviario, ¿a qué distancia de la señal de focos se instala habitualmente la baliza previa del sistema ASFA?;5 metros.;100 metros.;300 metros.;500 metros.;2;Bloque 5 (8.5.1 ASFA)
Actividad Comercial;En una anulación de billete AVLO de grupo, ¿qué gastos se aplican si se realiza entre 30 y 15 días antes de la salida?;15%;30%;50%;75%;1;Normativa AVLO (Grupos - Anulación)
Actividad Comercial;¿Cuál es el ancho de vía internacional o estándar?;1.000 mm;1.435 mm;1.668 mm;1.674 mm;1;Bloque 5 (Glosario / Infraestructura)
Actividad Comercial;Según la auditoría retributiva, ¿cuántas escalas contempla el Sistema de Valoración de Puestos de Renfe?;13;45;57;60;2;II Plan de Igualdad (Auditoría)
II Plan de Igualdad;¿En qué ley se basa el II Plan de Igualdad de Género del Grupo Renfe?;Ley 31/1995 de Prevención de Riesgos Laborales.;Ley Orgánica 3/2007 para la igualdad efectiva de mujeres y hombres.;Ley 38/2015 del Sector Ferroviario.;Ley 16/1987 de Ordenación de los Transportes Terrestres.;1;1. INTRODUCCIÓN
II Plan de Igualdad;¿Qué grupo de trabajo constituyó la base para la elaboración del Plan?;Mesa Técnica de Formación y Empleo.;Mesa Técnica de Igualdad y Aspectos Sociolaborales del II Convenio Colectivo.;Comité de Dirección del Grupo Renfe.;Comisión de Seguridad Operacional.;1;Participantes en la elaboración del Plan
II Plan de Igualdad;¿A qué plan estratégico de la compañía se vincula el II Plan de Igualdad?;Plan Estratégico 2010-2015.;Plan Estratégico 2019-2023.;Plan de Transformación Digital 2024.;Plan de Sostenibilidad 2030.;1;2.3.1. Plan Estratégico de Renfe
II Plan de Igualdad;¿Cuál es la fecha de actualización de los datos del informe diagnóstico por sociedades?;31 de diciembre de 2017.;30 de junio de 2019.;31 de diciembre de 2020.;15 de julio de 2025.;2;3. DIAGNÓSTICO
II Plan de Igualdad;Según el diagnóstico, ¿quién era el responsable de la E.P.E. Renfe Operadora?;Sonia Araujo López.;Joaquín del Moral Salcedo.;Isaías Táboas Suárez.;Francisco Javier Fernández Rodríguez.;2;3.1.2. Información básica de la empresa
II Plan de Igualdad;¿Cuál es el NIF de la Entidad Pública Empresarial Renfe Operadora?;A86868189.;Q2801659J.;B86868239.;Q2801659A.;1;3.1.2. Información básica de la empresa
